scope,case_id,class_label,mode,runs,samples_per_run,latency_median_ms,latency_mean_ms,latency_stddev_ms,latency_min_ms,latency_max_ms,samples_per_s_median,samples_per_s_mean,thread_cycles_median,cycles_per_sample_median,effective_clock_mhz_median,current_mhz_min,current_mhz_max,output_exact_count
case,ARR_mitdb_202_chunk00,ARR,end_to_end,10,1800000,1972.992750000,1976.629460000,53.084526172,1897.845200000,2065.161100000,912341.667,911232.918,4716394350.000,2620.219084,2389.930,2401,2401,10
case,ARR_mitdb_208_chunk00,ARR,kernel,10,1800000,1647.770500000,1648.246760000,1.665546153,1646.875500000,1652.404400000,1092385.137,1092070.493,3941257127.000,2189.587293,2391.628,2401,2401,10
case,ARR_mitdb_208_chunk00,ARR,end_to_end,10,1800000,1894.058800000,1917.630240000,74.030575808,1848.441600000,2014.506700000,950763.191,939908.297,4525115508.000,2513.953060,2389.528,2401,2401,10
case,ARR_mitdb_214_chunk00,ARR,kernel,10,1800000,1761.581900000,1757.725250000,27.859511533,1699.636000000,1792.407400000,1021809.323,1024285.380,4206258263.000,2336.810146,2388.715,2401,2401,10
case,ARR_mitdb_214_chunk00,ARR,end_to_end,10,1800000,1851.446350000,1851.801800000,3.008669231,1848.409300000,1856.940400000,972212.887,972028.579,4422671545.000,2457.039747,2390.435,2401,2401,10
case,ARR_mitdb_217_chunk00,ARR,kernel,10,1800000,1656.124500000,1711.900310000,81.884990460,1650.411600000,1847.611000000,1086875.092,1053559.295,3958139399.500,2198.966334,2389.139,2401,2401,10
case,ARR_mitdb_217_chunk00,ARR,end_to_end,10,1800000,2027.196000000,2007.724590000,59.665193565,1902.612500000,2085.718200000,887926.736,897259.674,4846166699.000,2692.314833,2390.450,2401,2401,10
case,ARR_mitdb_220_chunk00,ARR,kernel,10,1800000,1773.064050000,1779.358080000,64.391586166,1682.241900000,1914.596200000,1015191.935,1012774.126,4233803636.500,2352.113131,2390.542,2401,2401,10
case,ARR_mitdb_220_chunk00,ARR,end_to_end,10,1800000,1998.816900000,2010.157020000,61.779332621,1929.534700000,2099.538500000,900539.939,896210.785,4775002742.000,2652.779301,2388.453,2401,2401,10
case,ARR_mitdb_231_chunk00,ARR,kernel,10,1800000,1752.925300000,1768.717350000,79.447543608,1675.694100000,1975.163900000,1026855.112,1019410.515,4190989074.500,2328.327264,2390.480,2401,2401,10
case,ARR_mitdb_231_chunk00,ARR,end_to_end,10,1800000,2031.466650000,2035.445420000,68.910898624,1930.489700000,2155.093600000,886124.932,885234.750,4855326989.000,2697.403883,2391.811,2401,2401,10
case,CHF_chfdb_chf06_chunk06,CHF,kernel,10,1800000,1730.813550000,1741.839900000,33.829582554,1700.826500000,1799.321500000,1039973.962,1033737.901,4140052689.500,2300.029272,2391.861,2401,2401,10
