blob_sha,size_bytes,path
fe35f452298301048b065e5c506f01cdacb8caca,27617280,components/afe_xmodel/algorithm/person_data/afdb/1.0.0/07879.dat
4715f677a4a913bc101447d7393121f1f2293a05,27617280,components/afe_xmodel/algorithm/person_data/afdb/1.0.0/07910.dat
69e20a10d5ed5c2c3ac2e2ec74a25a48b3689c97,27617280,components/afe_xmodel/algorithm/person_data/afdb/1.0.0/08215.dat
0207aef1a9c713beb2af999e9c2f0b32040a53a1,27617280,components/afe_xmodel/algorithm/person_data/afdb/1.0.0/08219.dat
968288b1961f6b10316b9de7726b2da11187807f,27617280,components/afe_xmodel/algorithm/person_data/afdb/1.0.0/08378.dat
2ed5cb9ab29d0b86bf04676ddfa291d524161642,27617280,components/afe_xmodel/algorithm/person_data/afdb/1.0.0/08405.dat
f5bb2603ac066983f8b6e7469a0240449d93b055,27617280,components/afe_xmodel/algorithm/person_data/afdb/1.0.0/08434.dat
0b8793028990b8d85cec9b5896caa44aaa74babf,27617280,components/afe_xmodel/algorithm/person_data/afdb/1.0.0/08455.dat
f866c0c5b5cdb14b5bea06b08a255baefb9c07bb,24975000,components/afe_xmodel/algorithm/person_data/afdb/1.0.0/06453.dat
046173cf6c02e7702bc9ab26a950f2bed2be72f2,7514904,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/ARR/matlab_stage_outputs.csv
2dc0e69e91e019d645c396ae5048855512998ace,7514895,components/matlab_prevalidation/matlab_afe_validation/results_dataset/ARR/matlab_afe_adc_output.csv
aa1a43c8acf77d9e31789787b09d357901a6ba64,7507530,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/CHF/matlab_stage_outputs.csv
2750de6d4168449ea3b66b99aeb5217a4f290c9f,7507521,components/matlab_prevalidation/matlab_afe_validation/results_dataset/CHF/matlab_afe_adc_output.csv
d655535143ba4577c64b03662d3075d63a5d2d52,7502567,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/NSR/matlab_stage_outputs.csv
03cc72297c0e79af6b72d6fe50f5c89b48cf7150,7502558,components/matlab_prevalidation/matlab_afe_validation/results_dataset/NSR/matlab_afe_adc_output.csv
e4fc459875e558d678af1ab376700eba858c21f4,7450548,components/matlab_prevalidation/matlab_afe_validation/reference_vectors/AFF/matlab_stage_outputs.csv
5b1bcaeed6c56b0d55359fb343ee7896fd0ee076,7450539,components/matlab_prevalidation/matlab_afe_validation/results_dataset/AFF/matlab_afe_adc_output.csv
7b42ef33e9b897669d31779dafe295a6e77c26b8,5119743,components/afe_xmodel/afe_input_dataset/afe_input_CHF.pwl
0b937107013452970e84cbb6597c9f553d94da32,5119256,components/afe_xmodel/afe_input_dataset/afe_input_AFF.pwl
fb1e0a4e33ec2aed50b9dac89010cd5a84f19e98,5119243,components/afe_xmodel/afe_input_dataset/afe_input_ARR.pwl
8f1e6d59144b04b32b5fc93b5b7894f24b3e34eb,5117646,components/afe_xmodel/afe_input_dataset/afe_input_NSR.pwl
