implementation,measurement_scope,evidence_class,sample_count,latency_ms,throughput_samples_per_s,realtime_margin_vs_1ksps,ratio_vs_exact_cpp,power_w,energy_per_decision_j,resources,output_equivalence,evidence_path,limitations
Exact C++ native CPU kernel,preloaded signed-12 samples to final result,MEASURED,1800000,1777.6998,1012544.413,1012.544413,1.0,N/A,N/A,N/A,"36/36 class; 144/144 membrane; 1080/1080 snapshots",models/digital_equivalence/exact_cpp/results/exact_cpp_cpu_summary.csv,"single thread; fixed affinity; 360-run median"
Pure RTL XSim active-cycle cross-check,input-wait-subtracted active cycles,DERIVED,1800000,36.0129,49982089.751172,49982.089751,49.362862,0.1495,0.00538392855,"profiling build 9759 LUT; 5049 FF; 0 BRAM; 0 DSP","36/36 class; 144/144 membrane",models/digital_equivalence/results/rtl_cycle_summary.json,"profiling build resources are not the final fixed implementation resources"
FPGA board accelerator active-cycle latency,input-wait-subtracted 100 MHz hardware counters,DERIVED_FROM_MEASURED_COUNTERS,1800000,36.0129,49982089.751172,49982.089751,49.362862,0.1495,0.00538392855,"fixed Pure RTL 9719 LUT; 5038 FF; 0 BRAM; 0 DSP","36/36 class; 144/144 membrane",models/digital_equivalence/results/board_timing_summary.json,"power and energy are post-route activity estimates; physical board power was not measured"
