scope,grid_x,grid_y,placed_primitives,representative_tile
"accelerator_core",103,142,2,"CLBLM_R_X41Y63"
"accelerator_core",103,143,10,"CLBLM_R_X41Y62"
"accelerator_core",103,144,10,"CLBLM_R_X41Y61"
"accelerator_core",103,145,11,"CLBLM_R_X41Y60"
"accelerator_core",103,146,10,"CLBLM_R_X41Y59"
"accelerator_core",103,147,2,"CLBLM_R_X41Y58"
"accelerator_core",103,148,8,"CLBLM_R_X41Y57"
"accelerator_core",103,149,8,"CLBLM_R_X41Y56"
"accelerator_core",103,150,8,"CLBLM_R_X41Y55"
"accelerator_core",103,152,7,"CLBLM_R_X41Y53"
"accelerator_core",103,153,8,"CLBLM_R_X41Y52"
"accelerator_core",103,154,7,"CLBLM_R_X41Y51"
"accelerator_core",103,155,8,"CLBLM_R_X41Y50"
"accelerator_core",103,159,5,"CLBLM_R_X41Y47"
"accelerator_core",103,160,7,"CLBLM_R_X41Y46"
"accelerator_core",103,161,8,"CLBLM_R_X41Y45"
"accelerator_core",103,91,6,"CLBLM_R_X41Y112"
"accelerator_core",103,92,10,"CLBLM_R_X41Y111"
"accelerator_core",103,93,11,"CLBLM_R_X41Y110"
"accelerator_core",103,94,10,"CLBLM_R_X41Y109"
"accelerator_core",103,95,11,"CLBLM_R_X41Y108"
"accelerator_core",103,96,12,"CLBLM_R_X41Y107"
"accelerator_core",103,97,11,"CLBLM_R_X41Y106"
"accelerator_core",103,98,12,"CLBLM_R_X41Y105"
"accelerator_core",103,99,15,"CLBLM_R_X41Y104"
"accelerator_core",104,100,11,"CLBLL_L_X42Y103"
"accelerator_core",104,101,16,"CLBLL_L_X42Y102"
"accelerator_core",104,102,13,"CLBLL_L_X42Y101"
"accelerator_core",104,103,15,"CLBLL_L_X42Y100"
"accelerator_core",104,105,3,"CLBLL_L_X42Y99"
"accelerator_core",104,106,5,"CLBLL_L_X42Y98"
"accelerator_core",104,107,6,"CLBLL_L_X42Y97"
"accelerator_core",104,108,10,"CLBLL_L_X42Y96"
"accelerator_core",104,109,9,"CLBLL_L_X42Y95"
"accelerator_core",104,110,9,"CLBLL_L_X42Y94"
"accelerator_core",104,111,5,"CLBLL_L_X42Y93"
"accelerator_core",104,112,8,"CLBLL_L_X42Y92"
"accelerator_core",104,113,13,"CLBLL_L_X42Y91"
"accelerator_core",104,114,15,"CLBLL_L_X42Y90"
"accelerator_core",104,115,2,"CLBLL_L_X42Y89"
"accelerator_core",104,116,6,"CLBLL_L_X42Y88"
"accelerator_core",104,117,13,"CLBLL_L_X42Y87"
"accelerator_core",104,118,13,"CLBLL_L_X42Y86"
"accelerator_core",104,119,10,"CLBLL_L_X42Y85"
"accelerator_core",104,120,11,"CLBLL_L_X42Y84"
"accelerator_core",104,121,10,"CLBLL_L_X42Y83"
"accelerator_core",104,122,9,"CLBLL_L_X42Y82"
"accelerator_core",104,124,11,"CLBLL_L_X42Y80"
"accelerator_core",104,125,14,"CLBLL_L_X42Y79"
"accelerator_core",104,126,18,"CLBLL_L_X42Y78"
"accelerator_core",104,127,18,"CLBLL_L_X42Y77"
"accelerator_core",104,128,20,"CLBLL_L_X42Y76"
"accelerator_core",104,129,16,"CLBLL_L_X42Y75"
"accelerator_core",104,131,1,"CLBLL_L_X42Y74"
"accelerator_core",104,134,9,"CLBLL_L_X42Y71"
"accelerator_core",104,135,9,"CLBLL_L_X42Y70"
"accelerator_core",104,136,9,"CLBLL_L_X42Y69"
"accelerator_core",104,137,13,"CLBLL_L_X42Y68"
"accelerator_core",104,138,12,"CLBLL_L_X42Y67"
"accelerator_core",104,139,9,"CLBLL_L_X42Y66"
"accelerator_core",104,146,7,"CLBLL_L_X42Y59"
"accelerator_core",104,147,7,"CLBLL_L_X42Y58"
"accelerator_core",104,148,8,"CLBLL_L_X42Y57"
"accelerator_core",104,149,8,"CLBLL_L_X42Y56"
"accelerator_core",104,154,2,"CLBLL_L_X42Y51"
"accelerator_core",104,155,7,"CLBLL_L_X42Y50"
"accelerator_core",104,157,7,"CLBLL_L_X42Y49"
"accelerator_core",104,158,8,"CLBLL_L_X42Y48"
"accelerator_core",104,159,8,"CLBLL_L_X42Y47"
"accelerator_core",104,90,10,"CLBLL_L_X42Y113"
"accelerator_core",104,91,12,"CLBLL_L_X42Y112"
"accelerator_core",104,92,10,"CLBLL_L_X42Y111"
"accelerator_core",104,93,8,"CLBLL_L_X42Y110"
"accelerator_core",104,94,11,"CLBLL_L_X42Y109"
"accelerator_core",104,95,11,"CLBLL_L_X42Y108"
"accelerator_core",104,96,9,"CLBLL_L_X42Y107"
"accelerator_core",104,97,10,"CLBLL_L_X42Y106"
"accelerator_core",104,98,11,"CLBLL_L_X42Y105"
"accelerator_core",104,99,10,"CLBLL_L_X42Y104"
"accelerator_core",107,100,8,"CLBLM_R_X43Y103"
"accelerator_core",107,101,14,"CLBLM_R_X43Y102"
"accelerator_core",107,102,14,"CLBLM_R_X43Y101"
"accelerator_core",107,103,14,"CLBLM_R_X43Y100"
"accelerator_core",107,105,14,"CLBLM_R_X43Y99"
"accelerator_core",107,106,14,"CLBLM_R_X43Y98"
"accelerator_core",107,107,18,"CLBLM_R_X43Y97"
"accelerator_core",107,108,11,"CLBLM_R_X43Y96"
"accelerator_core",107,109,10,"CLBLM_R_X43Y95"
"accelerator_core",107,110,9,"CLBLM_R_X43Y94"
"accelerator_core",107,112,3,"CLBLM_R_X43Y92"
"accelerator_core",107,114,1,"CLBLM_R_X43Y90"
"accelerator_core",107,115,4,"CLBLM_R_X43Y89"
"accelerator_core",107,116,11,"CLBLM_R_X43Y88"
"accelerator_core",107,117,14,"CLBLM_R_X43Y87"
"accelerator_core",107,118,13,"CLBLM_R_X43Y86"
"accelerator_core",107,120,11,"CLBLM_R_X43Y84"
"accelerator_core",107,121,14,"CLBLM_R_X43Y83"
"accelerator_core",107,122,14,"CLBLM_R_X43Y82"
"accelerator_core",107,123,5,"CLBLM_R_X43Y81"
"accelerator_core",107,124,5,"CLBLM_R_X43Y80"
"accelerator_core",107,125,6,"CLBLM_R_X43Y79"
"accelerator_core",107,126,6,"CLBLM_R_X43Y78"
"accelerator_core",107,127,10,"CLBLM_R_X43Y77"
"accelerator_core",107,128,6,"CLBLM_R_X43Y76"
"accelerator_core",107,129,6,"CLBLM_R_X43Y75"
"accelerator_core",107,131,6,"CLBLM_R_X43Y74"
"accelerator_core",107,132,6,"CLBLM_R_X43Y73"
"accelerator_core",107,133,8,"CLBLM_R_X43Y72"
"accelerator_core",107,136,8,"CLBLM_R_X43Y69"
"accelerator_core",107,137,10,"CLBLM_R_X43Y68"
"accelerator_core",107,138,2,"CLBLM_R_X43Y67"
"accelerator_core",107,139,15,"CLBLM_R_X43Y66"
"accelerator_core",107,140,9,"CLBLM_R_X43Y65"
"accelerator_core",107,141,8,"CLBLM_R_X43Y64"
"accelerator_core",107,142,9,"CLBLM_R_X43Y63"
"accelerator_core",107,147,5,"CLBLM_R_X43Y58"
"accelerator_core",107,148,2,"CLBLM_R_X43Y57"
"accelerator_core",107,149,4,"CLBLM_R_X43Y56"
"accelerator_core",107,152,6,"CLBLM_R_X43Y53"
"accelerator_core",107,153,6,"CLBLM_R_X43Y52"
"accelerator_core",107,154,8,"CLBLM_R_X43Y51"
"accelerator_core",107,155,6,"CLBLM_R_X43Y50"
"accelerator_core",107,157,4,"CLBLM_R_X43Y49"
"accelerator_core",107,158,3,"CLBLM_R_X43Y48"
"accelerator_core",107,159,4,"CLBLM_R_X43Y47"
"accelerator_core",107,90,2,"CLBLM_R_X43Y113"
"accelerator_core",107,91,6,"CLBLM_R_X43Y112"
"accelerator_core",107,92,8,"CLBLM_R_X43Y111"
"accelerator_core",107,93,10,"CLBLM_R_X43Y110"
"accelerator_core",107,94,10,"CLBLM_R_X43Y109"
"accelerator_core",107,95,10,"CLBLM_R_X43Y108"
"accelerator_core",107,96,10,"CLBLM_R_X43Y107"
"accelerator_core",107,97,10,"CLBLM_R_X43Y106"
"accelerator_core",107,98,9,"CLBLM_R_X43Y105"
"accelerator_core",107,99,10,"CLBLM_R_X43Y104"
"accelerator_core",112,100,9,"CLBLL_R_X45Y103"
"accelerator_core",112,101,13,"CLBLL_R_X45Y102"
"accelerator_core",112,102,12,"CLBLL_R_X45Y101"
"accelerator_core",112,103,5,"CLBLL_R_X45Y100"
"accelerator_core",112,113,1,"CLBLL_R_X45Y91"
"accelerator_core",112,117,8,"CLBLL_R_X45Y87"
"accelerator_core",112,118,8,"CLBLL_R_X45Y86"
"accelerator_core",112,119,5,"CLBLL_R_X45Y85"
"accelerator_core",112,120,5,"CLBLL_R_X45Y84"
"accelerator_core",112,121,11,"CLBLL_R_X45Y83"
"accelerator_core",112,122,2,"CLBLL_R_X45Y82"
"accelerator_core",112,124,2,"CLBLL_R_X45Y80"
"accelerator_core",112,125,2,"CLBLL_R_X45Y79"
"accelerator_core",112,126,5,"CLBLL_R_X45Y78"
"accelerator_core",112,127,7,"CLBLL_R_X45Y77"
"accelerator_core",112,128,9,"CLBLL_R_X45Y76"
"accelerator_core",112,129,10,"CLBLL_R_X45Y75"
"accelerator_core",112,136,9,"CLBLL_R_X45Y69"
"accelerator_core",112,137,13,"CLBLL_R_X45Y68"
"accelerator_core",112,138,5,"CLBLL_R_X45Y67"
"accelerator_core",112,139,1,"CLBLL_R_X45Y66"
"accelerator_core",112,141,4,"CLBLL_R_X45Y64"
"accelerator_core",112,143,6,"CLBLL_R_X45Y62"
"accelerator_core",112,144,8,"CLBLL_R_X45Y61"
"accelerator_core",112,145,8,"CLBLL_R_X45Y60"
"accelerator_core",112,146,8,"CLBLL_R_X45Y59"
"accelerator_core",112,153,6,"CLBLL_R_X45Y52"
"accelerator_core",112,154,1,"CLBLL_R_X45Y51"
"accelerator_core",112,155,6,"CLBLL_R_X45Y50"
"accelerator_core",112,92,3,"CLBLL_R_X45Y111"
"accelerator_core",112,93,5,"CLBLL_R_X45Y110"
