scope,grid_x,grid_y,placed_primitives,representative_tile
"accelerator",103,150,8,"CLBLM_R_X41Y55"
"accelerator",103,152,7,"CLBLM_R_X41Y53"
"accelerator",103,153,8,"CLBLM_R_X41Y52"
"accelerator",103,154,7,"CLBLM_R_X41Y51"
"accelerator",103,155,8,"CLBLM_R_X41Y50"
"accelerator",103,159,5,"CLBLM_R_X41Y47"
"accelerator",103,160,7,"CLBLM_R_X41Y46"
"accelerator",103,161,8,"CLBLM_R_X41Y45"
"accelerator",103,91,6,"CLBLM_R_X41Y112"
"accelerator",103,92,10,"CLBLM_R_X41Y111"
"accelerator",103,93,11,"CLBLM_R_X41Y110"
"accelerator",103,94,10,"CLBLM_R_X41Y109"
"accelerator",103,95,11,"CLBLM_R_X41Y108"
"accelerator",103,96,12,"CLBLM_R_X41Y107"
"accelerator",103,97,11,"CLBLM_R_X41Y106"
"accelerator",103,98,12,"CLBLM_R_X41Y105"
"accelerator",103,99,15,"CLBLM_R_X41Y104"
"accelerator",104,100,11,"CLBLL_L_X42Y103"
"accelerator",104,101,16,"CLBLL_L_X42Y102"
"accelerator",104,102,13,"CLBLL_L_X42Y101"
"accelerator",104,103,15,"CLBLL_L_X42Y100"
"accelerator",104,105,3,"CLBLL_L_X42Y99"
"accelerator",104,106,5,"CLBLL_L_X42Y98"
"accelerator",104,107,6,"CLBLL_L_X42Y97"
"accelerator",104,108,10,"CLBLL_L_X42Y96"
"accelerator",104,109,9,"CLBLL_L_X42Y95"
"accelerator",104,110,9,"CLBLL_L_X42Y94"
"accelerator",104,111,5,"CLBLL_L_X42Y93"
"accelerator",104,112,8,"CLBLL_L_X42Y92"
"accelerator",104,113,13,"CLBLL_L_X42Y91"
"accelerator",104,114,15,"CLBLL_L_X42Y90"
"accelerator",104,115,2,"CLBLL_L_X42Y89"
"accelerator",104,116,6,"CLBLL_L_X42Y88"
"accelerator",104,117,13,"CLBLL_L_X42Y87"
"accelerator",104,118,13,"CLBLL_L_X42Y86"
"accelerator",104,119,10,"CLBLL_L_X42Y85"
"accelerator",104,120,11,"CLBLL_L_X42Y84"
"accelerator",104,121,10,"CLBLL_L_X42Y83"
"accelerator",104,122,9,"CLBLL_L_X42Y82"
"accelerator",104,124,11,"CLBLL_L_X42Y80"
"accelerator",104,125,14,"CLBLL_L_X42Y79"
"accelerator",104,126,18,"CLBLL_L_X42Y78"
"accelerator",104,127,18,"CLBLL_L_X42Y77"
"accelerator",104,128,20,"CLBLL_L_X42Y76"
"accelerator",104,129,16,"CLBLL_L_X42Y75"
"accelerator",104,131,1,"CLBLL_L_X42Y74"
"accelerator",104,134,9,"CLBLL_L_X42Y71"
"accelerator",104,135,9,"CLBLL_L_X42Y70"
"accelerator",104,136,9,"CLBLL_L_X42Y69"
"accelerator",104,137,13,"CLBLL_L_X42Y68"
"accelerator",104,138,12,"CLBLL_L_X42Y67"
"accelerator",104,139,9,"CLBLL_L_X42Y66"
"accelerator",104,146,7,"CLBLL_L_X42Y59"
"accelerator",104,147,7,"CLBLL_L_X42Y58"
"accelerator",104,148,8,"CLBLL_L_X42Y57"
"accelerator",104,149,8,"CLBLL_L_X42Y56"
"accelerator",104,154,2,"CLBLL_L_X42Y51"
"accelerator",104,155,7,"CLBLL_L_X42Y50"
"accelerator",104,157,7,"CLBLL_L_X42Y49"
"accelerator",104,158,8,"CLBLL_L_X42Y48"
"accelerator",104,159,8,"CLBLL_L_X42Y47"
"accelerator",104,90,10,"CLBLL_L_X42Y113"
"accelerator",104,91,12,"CLBLL_L_X42Y112"
"accelerator",104,92,10,"CLBLL_L_X42Y111"
"accelerator",104,93,8,"CLBLL_L_X42Y110"
"accelerator",104,94,11,"CLBLL_L_X42Y109"
"accelerator",104,95,11,"CLBLL_L_X42Y108"
"accelerator",104,96,9,"CLBLL_L_X42Y107"
"accelerator",104,97,10,"CLBLL_L_X42Y106"
"accelerator",104,98,11,"CLBLL_L_X42Y105"
"accelerator",104,99,10,"CLBLL_L_X42Y104"
"accelerator",107,100,8,"CLBLM_R_X43Y103"
"accelerator",107,101,14,"CLBLM_R_X43Y102"
"accelerator",107,102,14,"CLBLM_R_X43Y101"
"accelerator",107,103,14,"CLBLM_R_X43Y100"
"accelerator",107,105,14,"CLBLM_R_X43Y99"
"accelerator",107,106,14,"CLBLM_R_X43Y98"
"accelerator",107,107,18,"CLBLM_R_X43Y97"
"accelerator",107,108,11,"CLBLM_R_X43Y96"
"accelerator",107,109,10,"CLBLM_R_X43Y95"
"accelerator",107,110,9,"CLBLM_R_X43Y94"
"accelerator",107,112,3,"CLBLM_R_X43Y92"
"accelerator",107,114,1,"CLBLM_R_X43Y90"
"accelerator",107,115,4,"CLBLM_R_X43Y89"
"accelerator",107,116,11,"CLBLM_R_X43Y88"
"accelerator",107,117,14,"CLBLM_R_X43Y87"
"accelerator",107,118,13,"CLBLM_R_X43Y86"
"accelerator",107,120,11,"CLBLM_R_X43Y84"
"accelerator",107,121,14,"CLBLM_R_X43Y83"
"accelerator",107,122,14,"CLBLM_R_X43Y82"
"accelerator",107,123,5,"CLBLM_R_X43Y81"
